=== YT-DPI REPORT ===
TIME: 2026-03-12 11:08:28
ISP:  Informsvyaz-Chernozemye (Voronezh, RU)
DNS:  192.168.1.1
PROXY: OFF
------------------------------------------------------------------------------------------
TARGET DOMAIN                          IP ADDRESS       HTTP   TLS 1.2  TLS 1.3  LAT    RESULT
------------------------------------------------------------------------------------------
google.com                             64.233.164.139   OK     OK       N/A      74ms   AVAILABLE
youtube.com                            64.233.161.91    OK     DRP      N/A      72ms   DPI BLOCK
youtu.be                               74.125.205.91    OK     DRP      N/A      33ms   DPI BLOCK
i.ytimg.com                            173.194.220.119  OK     DRP      N/A      32ms   DPI BLOCK
yt3.ggpht.com                          74.125.205.198   OK     DRP      N/A      36ms   DPI BLOCK
manifest.googlevideo.com               64.233.162.136   OK     DRP      N/A      43ms   DPI BLOCK
redirector.googlevideo.com             108.177.14.198   OK     DRP      N/A      57ms   DPI BLOCK
youtubei.googleapis.com                216.239.32.223   OK     DRP      N/A      36ms   DPI BLOCK
signaler-pa.youtube.com                64.233.162.102   OK     DRP      N/A      30ms   DPI BLOCK
r1.freedom-voz3.googlevideo.com        92.244.237.76    OK     OK       N/A      14ms   AVAILABLE
